,image,avg_line_length_mm,avg_line_width_mm,avg_gap_length_mm,avg_gap_width_mm,total_lines,horizontal_lines,vertical_lines,voltage,type
0,0.4kvDC_001,0.2539609475945942,0.16544994974874372,0.09835153846153845,0.02243896551724138,597,59,14,0.4,DC
1,0.4kvDC_002,0.2494074519174251,0.15299414399999997,0.07970624999999999,0.01626825,625,81,17,0.4,DC
2,0.4kvDC_003,0.25009348801707193,0.15628676470588238,0.13843,0.020606190476190476,612,64,10,0.4,DC
3,0.4kvDC_004,0.26612832386359214,0.17983323076923077,0.09132642857142859,0.022775263157894732,585,58,15,0.4,DC
4,0.4kvDC_005,0.2601105261591106,0.1678938860103627,0.062130000000000005,0.01685961038961039,579,78,21,0.4,DC
5,0.4kvDC_006,0.2547738864526592,0.16360774299835254,0.09085928571428571,0.024494150943396225,607,54,15,0.4,DC
6,0.4kvDC_007,0.26450678080561746,0.16253789842381786,0.13770333333333332,0.0173092,571,76,10,0.4,DC
7,0.4kvDC_008,0.2619920287081387,0.16721839464882943,0.061507142857142864,0.020335312499999997,598,65,22,0.4,DC
8,0.4kvDC_009,0.2759906323135915,0.18321051903114188,0.09508153846153847,0.023662909090909092,578,56,14,0.4,DC
9,0.4kvDC_010,0.27017394807070977,0.17647619047619048,0.10600250000000001,0.018766956521739132,567,70,13,0.4,DC
10,0.4kvDC_011,0.2517154515131697,0.1629952709359606,0.0531375,0.019972153846153844,609,66,25,0.4,DC
11,0.4kvDC_012,0.2668678297607753,0.1758880546075085,0.123933,0.023980000000000008,586,55,11,0.4,DC
12,0.4kvDC_013,0.2783157174621147,0.18162481675392672,0.11712545454545455,0.03808588235294117,573,35,12,0.4,DC
13,0.4kvDC_014,0.2611021263371099,0.18113918781725888,0.06867000000000001,0.027113750000000002,591,49,19,0.4,DC
14,0.4kvDC_015,0.2529743783488546,0.17401422370617697,0.0512736,0.030266511627906983,599,44,26,0.4,DC
15,0.4kvDC_016,0.24150997407964697,0.15811411764705882,0.09835153846153848,0.021582,629,61,14,0.4,DC
16,0.4kvDC_017,0.25666879802859943,0.17253768844221104,0.09608769230769232,0.02455584905660377,597,54,14,0.4,DC
17,0.4kvDC_018,0.2672517889150235,0.17200878892733562,0.10464,0.018498857142857143,578,71,13,0.4,DC
18,0.4kvDC_019,0.25947842298285906,0.1761591089108911,0.07521,0.03337076923076923,606,40,18,0.4,DC
19,0.4kvDC_020,0.26039795447251235,0.18143511864406778,0.07578705882352942,0.02769063829787234,590,48,18,0.4,DC
20,0.4kvDC_021,0.2528166223504965,0.16180201005025124,0.07929749999999999,0.018592285714285714,597,71,17,0.4,DC
21,0.4kvDC_022,0.249456724507124,0.15419432835820895,0.07367117647058825,0.018861739130434783,603,70,18,0.4,DC
22,0.4kvDC_023,0.23481417456090609,0.13577082125603862,0.060261428571428584,0.014315333333333334,621,91,22,0.4,DC
23,0.4kvDC_024,0.24573219669763746,0.1508143718592965,0.12687600000000002,0.02283263157894737,597,58,11,0.4,DC
24,0.4kvDC_025,0.2559404533995379,0.15899704918032787,0.07085,0.014789318181818178,610,89,19,0.4,DC
25,0.4kvDC_026,0.24910047944165636,0.15694900840336135,0.09109285714285716,0.021581999999999997,595,61,15,0.4,DC
26,0.4kvDC_027,0.254905750133341,0.1569386274509804,0.05826545454545456,0.0161865,612,81,23,0.4,DC
27,0.4kvDC_028,0.24828057826206898,0.15644684474123538,0.07970624999999999,0.017828219178082194,599,74,17,0.4,DC
28,0.4kvDC_029,0.24974294759077645,0.15536277227722772,0.057819545454545464,0.01778342465753425,606,74,23,0.4,DC
29,0.4kvDC_030,0.2495016189325534,0.1610860487804878,0.049804615384615385,0.02055428571428572,615,64,27,0.4,DC
30,0.4kvDC_031,0.24738901315017528,0.14619398671096345,0.06712105263157896,0.018545571428571432,602,71,20,0.4,DC
31,0.5kvDC_001,0.23423515750813886,0.150273971291866,0.0636015,0.021228196721311477,627,62,21,0.5,DC
32,0.5kvDC_002,0.24168381749279053,0.15138049504950493,0.06041714285714285,0.023662909090909096,606,56,22,0.5,DC
